Category,State, Description,Source
K-12 Education,Massachusetts,"$16.1 million in coronavirus relief for special education residential schools. Gov. Baker said the money will be given to 32 special education residential school providers to support expenses related to the ongoing coronavirus pandemic, Baker said during a press conference held at the New England Center for Children.",Governor
K-12 Education,Michigan,$18 million to implement instructional recovery programs.,Legislation
K-12 Education,Michigan,"$538 million to K-12 schools, amounting to $350 per pupil and more than $50 million in hazard pay for educators. The measure also includes $18 million for safety measures and local benchmark assessments.",Media
K-12 Education,Minnesota,"$245 million for addressing operating costs and supporting student, family and educator needs",State
K-12 Education,Minnesota,$5 million for Incentive Grants for Turning Schools into Community Feeding Hubs,State
K-12 Education,Minnesota,$5.2 million for supplies for schools; flexibility for critical care supplies.,State
K-12 Education,Minnesota,"$6 million for on-demand saliva testing for public and private school educators, staff and childcare providers.",State
K-12 Education,Mississippi,$150 million for K-12 Distance learning.,Media
K-12 Education,Mississippi,$50 million for K-12 Internet connectivity.,Media
K-12 Education,Missouri,"$75.6 million in federal funds included in the supplemental budget will reimburse Missouri's k-12 schools, for feeding students during the COVID pandemic.",Media
K-12 Education,Missouri,"Funding to transition colleges and universities to online learning, see Technology and Broadband.",Governor
K-12 Education,Missouri,Gov. Parson directs $61.5 million in CARES funding to K-12.,Media
K-12 Education,Missouri,K-12 Distance Learning: The Missouri Department of Elementary and Secondary Education will allocate $10 million of the Coronavirus Relief Fund to Local Education Agencies (LEAs) to seek reimbursement for eligible costs to increase student connectivity.,Governor
K-12 Education,Montana,$75 million is directed to Montana K-12 schools to cover expenses incurred due to COVID-19 and to take precautions to keep students and staff safe this fall. This allocation is not a part of the Education Stabilization funds from the Department of Education.,State
K-12 Education,Nevada,"$50 million to a state budget account overseen by the state superintendent and establish a grant program for K-12 schools to create alternative intensive instruction including distance learning, specifically targeting students Elementary school students who 'úexhibit a deficiency in the subject area of reading,'ù including those who would be affected by the Ready by Grade 3 literacy program, English Language Learners, students eligible for free or reduced-price lunch, students who score at or below the 25th percentile on testing proficiency, students who attend a public school that is rated at or below the 10th percentile of lowest performing schools. Alternative intensive instruction may include providing internet connectivity to students and other programs to 'úmitigate deficits'ù caused by distance learning.",Governor
K-12 Education,New Hampshire,$10 million to the New Hampshire Invest in the Future Fund for programs like: the Empowering Youth Program to increase summer programming for middle and high school-aged children across the Granite State and the Education Enrichment Provider Program to use $1.5M for grants to student programs that provide enrichment opportunities to K-12 students.,Governor
K-12 Education,New Hampshire,$44.7 million to the Public School COVID-19 support fund.,Governor
K-12 Education,New Jersey,$48.9 million to the Department of Education for bridging the digital divide related to reopening.,State
K-12 Education,New Jersey,$99.8 million for increased K-12 costs for COVID-19 re-opening and distance learning costs,State
K-12 Education,North Carolina,$30 million for local schools to purchase computers and other devices for students.,Governor
K-12 Education,North Carolina,$70 million for summer learning programs.,Governor
K-12 Education,North Carolina,$75 million for school nutrition programs.,Governor
K-12 Education,North Carolina,"Purchase computers and other devices for students for local schools, see Technology and Broadband.",Governor
K-12 Education,North Dakota,$64 million to K-12 school districts that will be paid out directly to school districts utilizing a base payment amount and a per pupil distribution.,State
K-12 Education,Ohio,$100 million for Ohio's K-12 Schools,Other
K-12 Education,Ohio,$30 million to the Ohio Department of Education to reimburse schools for providing meals to students during the summer and $18 million in grants to help offset ongoing costs local school districts are faced with,Other
K-12 Education,Pennsylvania,"$150 million to the School Safety and Security Fund. This is part of a fund created in the aftermath of Parkland. The amount funded has been dependent on appropriation each year. The CRF dollars were transferred to the fund and it's purposes revised for this year to cover COVID-related school expenses for health and safety, etc.",Legislation
K-12 Education,Pennsylvania,$2 million for the Head Start Supplemental Assistance Program.,Legislation
K-12 Education,Pennsylvania,$7 million to the Pre-K Counts Program.,Legislation
K-12 Education,South Carolina,"$222.7 million for recovery camps, five days of academic instruction and food services.",Legislation
K-12 Education,South Carolina,"$84 million to South Carolina's public school districts to be used for safety measures and personal protective equipment, hiring of school nurses, hiring of staff to provide one-on-one instruction and support services for struggling students, and technology equipment to support online learning.",Media
K-12 Education,South Dakota,$75 million for K-12 schools.,Governor
K-12 Education,Tennessee,"An additional $50 million will be made available to support technology grants that can be used on wi-fi devices, laptops, or any other devices needed to support reopening.",Media
K-12 Education,Tennessee,This first wave of grant funding includes releasing $11 million for grants to local education agencies (LEA) to support reopening efforts from the Coronavirus Relief Fund Grants.,Media
K-12 Education,Utah," $19 million to the State Board of Education for classroom supplies, enhancements and equipment. $3.9 million of the $19.0 million coronavirus relief funding distributed to the Board to pay for personal protective equipment and other allowable expenses for schools.",Legislation
K-12 Education,Vermont,$1.5 million Independent schools to reimburse COVID-related costs,Legislation
K-12 Education,Vermont,"$12 million DCF CDD for afterschool, summer camps, childcare providers",Legislation
K-12 Education,Vermont,$41 million LEAs to reimburse COVID-related costs,Legislation
K-12 Education,Vermont,$6.5 million EVT for air quality improvement program in schools,Legislation
K-12 Education,Virginia,$220.8 million to K-12 - Costs for Re-Opening Schools,State
K-12 Education,Washington,$195.2 million to the Office of the Superintendent of Public Instruction to provide emergency relief funds to local education agencies to address the impact of COVID-19 on elementary and secondary schools.,State
K-12 Education,Washington,$8.1 million to the Office of Superintendent of Public Instruction for competitive grants to community-based organizations (CBOs) to support student learning in partnership with school districts.,State
K-12 Education,Washington,$8.8 million to the Office of Superintendent of Public Instruction for internet access contracts and connectivity needs.,State
Local Government,Alabama,"$178 million to counties and municipalities for cleaning and sanitation, payroll, purchasing PPE, telework expenses, and workplace safety preparations.",State
Local Government,Alaska,"$586.6 million in Direct Municipal Relief - Funding is allocated using a combination of quantified economic activity metrics 'ì such as retail, hospitality and tourism, regional commercial fishing, and other measures of commerce activity 'ì and population as distributed through the community assistance program. Provides communities with the resources needed to respond to first and second order impacts of COVID19.",Governor
Local Government,Arizona,"$441 million for direct allocations to cities, towns, and counties who did not receive allocations from the Treasury (AZCares Fund).",State
Local Government,Arkansas,$150 million to address the economic impact of COVID-19 on Arkansas cities and counties.,State
Local Government,Colorado,$275 million to units of local government that that did not receive a direct distribution of funds from the Coronavirus Relief Fund for expenses to facilitate compliance with COVID-19-related public health measures.,State
Local Government,Connecticut,$75 million to municipalities to help towns and cities face unexpected and unbudgeted costs. $15 million of the $75 million Municipal CRF Program allocation has been reserved to expand regional testing opportunities for teachers and staff to mitigate this expense for LEA's and municipalities and provide increased support for safe operations of our schools.,State
Local Government,Delaware,"$564,493 for municipal reimbursements.",State
Local Government,Georgia,$1.1 million for local match.,State
Local Government,Georgia,$3.5 billion to local jurisdictions that did not receive direct payments.,State
Local Government,Idaho,$42.4 million for cities.,Governor
Local Government,Idaho,$44.2 million for counties.,Governor
Local Government,Idaho,"$633,900 for tribal governments.",Governor
Local Government,Idaho,$7.2 million for special purpose taxing districts.,Governor
Local Government,Illinois,$250 million to local governments that did not receive relief funds directly from the federal government.,State
Local Government,Illinois,"$70 million for Disproportionately Impacted Areas, defined by zip code for communities that are most economically distressed and vulnerable to COVID-19. A map of DIAs is shown below.",State
Local Government,Indiana,$300 million to local governments.,Media
Local Government,Iowa,$125 million is going toward relief for Iowa Communities. Gov. Reynolds said the state is launching an online payment portal for cities and counties applying for reimbursement of COVID-19 related expenses.,Media
Local Government,Iowa,"$5.5 million for the Iowa Movie Theatre Relief Program. The program will provide short-term relief to eligible movie theatres for the purpose of continuing or resuming operations in the context of the public health emergency. The Iowa Movie Theatre Relief Fund will provide up to $10,000 per screen to assist the nearly 150 movie theatres housing approximately 550 screens in Iowa with operational expenses.",Governor
Local Government,Kansas,"$400 million in funding approved by the State Finance Council from the Coronavirus Relief Fund to local Kansas governments to help combat the health and economic challenges COVID-19 has brought on their communities, and to help prepare for possible future outbreaks of the disease. ",Governor
Local Government,Kentucky,$300 million to city and county governments.,Governor
Local Government,Louisiana,$511 million for municipal government expenses.,Media
Local Government,Maine,$13 million to provide funding to municipalities and tribal governments to create local COVID-19 education and prevention plans as part of the 2020 COVID-19 Municipal Awareness campaign that extends the work of the Maine Center for Disease Control and Prevention in promoting public education and public health activities.,State
Local Government,Maine,"$35 million to assist local and tribal governments, and other entities that qualify for Federal Emergency Management Agency (FEMA) assistance, with incurred COVID-19 expenses by providing the 25% match against FEMA's Public Assistance Major Disaster Declaration for COVID-19. The CRF-based assistance is for eligible expenses incurred on or are March 1, 2020 that FEMA has approved by December 1, 2020. The Governor will continue to assess whether additional CRF is needed for match purposes based on submissions being made to FEMA.",State
Local Government,Massachusetts,$502 million from the federal Coronavirus Relief Fund to local cities and towns for eligible costs related to the COVID-19 response effort. The Administration is also providing guidance to local municipalities on this formal distribution process and establishing protocols to maximize the use of federal resources and promote compliance with federal restrictions.,Governor
Local Government,Michigan,$200 million to local governments.,Legislation
Local Government,Minnesota,"$841 million will be distributed to Minnesota counties, cities, and towns to support local government coronavirus relief efforts.",State
Local Government,Mississippi,$70 million for cities and counties.,Media
Local Government,Missouri,"$520,925,478 or 25% of the state share of coronavirus relief funds to local governments.",Governor
Local Government,Montana,"Reimbursement is available to local governments as part of the CAREs Act and the Federal Emergency Management (FEMA) Public Assistance (PA) grant program for direct costs associated with COVID-19. This program will be administered by the Local Government Services (LGS) Bureau at the Department of Administration, in consultation with the Governor's Office of Budget and Program Planning and Department of Military Affairs Disaster and Emergency Services Division. Requests for reimbursement must be submitted to LGS by June 12, July 17, September 4, and/or December 1, 2020, and will be reimbursed within 30 days of these deadlines. An entity will receive a maximum of four reimbursement payments. Per the COVID-19 reimbursement form, localities must list actual costs incurred related to COVID-19 and provide sufficient documentation to support incurred costs. Reimbursement requests must be certified and signed by a member of the local governing body.",State
Local Government,Nebraska,"$100 million for local governments for the purpose of acquisition of PPE, sanitizing products; Medical leave; tele-work capabilities; emergency staffing; payroll costs.",Governor
Local Government,Nevada,"A total of $148.5 million will be distributed to the other 16 counties and incorporated cities outside of Clark County. These funds will help local governments to manage recuperation efforts, as they can be used for expenses already incurred as well as pandemic-related costs moving forward.",Governor
Local Government,New Hampshire,$28.6 million for municipal & country reimbursements.,Governor
Local Government,New Hampshire,"Allocated $40 million to reimburse municipal and county governments for COVID-19 costs, $32 million to municipalities and $8 million to counties.",Governor
Local Government,New Jersey,$65.9 million to the Department of Community Affairs for COVID CRF Local Government Emergency Fund for or local governments in the 12 non-CRF counties.,State
Local Government,New Mexico,"$178 million of CARES Act funding for tribal and local governments. $28 million is available for tribal government grants and $150 million is available for city and county grants. These funds can cover costs that are necessary expenditures incurred due to the public health emergency for the period beginning on March 1, 2020, through December 30, 2020. $50 million of the local government allocation is designated for the establishment of local grant programs to support small businesses that have been impacted by the COVID-19 pandemic emergency. The local government grant program will also enable cities and counties to make more child care options available for parents whose children's school schedules have been impacted by the health emergency.",Governor
Local Government,New York,"$4.3 million to county emergency management agencies and the City of New York to support COVID-19 planning and operational readiness. This grant opportunity will provide an additional level of direct support to counties as New York, and the rest of the world, continues to grapple with the ongoing COVID-19 pandemic. Eligible recipients will be able to utilize this funding to cover various emergency management-related costs already borne during the pandemic, as well as costs associated with local prevention and operational efforts moving forward.",Governor
Local Government,North Carolina,"HB 1043/S.L. 2020 appropriated $150 million to county governments based on their population according to 2019 Vintage Year Census Bureau estimates. Each county will receive a minimum distribution of $250,000.",Governor
Local Government,North Dakota,$3.9 million to local political subdivisions for COVID-19 expenses.,State
Local Government,North Dakota,$61 million to cities and counties.,State
Local Government,Ohio,"$350 million to Ohio counties, cities, villages, and townships.",Legislation
Local Government,Ohio,"$54,563,400 to local health departments.",Other
Local Government,Ohio,"Additional $650 million to Ohio counties, cities, villages, and townships.",Legislation
Local Government,Ohio,"An additional $175 million requested in fiscal year 2021 will be distributed and administered following the provisions of Section 27 of H.B. 481. The additional funding will be disbursed by OBM to each county's coronavirus relief distribution fund for distribution to counties, municipalities, and townships .",State
Local Government,Oklahoma,"$4.2 million to cities and counties to cover expenses including payroll, heightened sanitation services, personal protective equipment and modification to normal public services for safety measures.",Media
Local Government,Pennsylvania,"$20 million for the cultural and museum preservation grant program to offset lost revenue caused by the COVID-19 pandemic and the resulting shutdown order. The minimum amount of grant funding will be $25,000 to a maximum of $500,000.",Legislation
Local Government,Pennsylvania,$625 million was made available to Pennsylvania counties that did not receive direct CRF funding in the form of block grants administered by the Department of Community and Economic Development,Legislation
Local Government,South Dakota,$200 million to local governments.,Media
Local Government,Tennessee, $115 million in Coronavirus Relief Funds will be made available to local governments to offset costs incurred from responding to the COVID-19 pandemic thought a reimbursement program on a per capita basis.,Governor
Local Government,Texas,The Texas Division of Emergency Management is managing the distribution of $1.85 billion in CRF funds to local jurisdictions that did not receive direct allocations from the federal government. Distribution of funds is based on a calculation of $55 per capita.,Governor
Local Government,Utah,$562 million to local governments.,Media
Local Government,Vermont,$12.6 million to AoA for municipal grants for COVID response,Legislation
Local Government,Vermont,"$150,000 to AoA for RPCs to provide technical assistance to towns",Legislation
Local Government,Vermont,$2 million to AoA for grants for digitization of municipal records,Legislation
Local Government,Vermont,$2.7 million to pay interest on municipal debt taken out to finance late property taxes.,Legislation
Local Government,Virginia,Plans to distribute $1.3 billion to local jurisdictions. The first $645 million was sent in June and the second half of $644.6 million was sent in July.,State
Local Government,Washington,$408.9 million for funding COVID-19 assistance to local governments under interagency agreement #K3134.,State
Local Government,West Virginia,$16.5 million to local public service districts.,Governor
Local Government,West Virginia,$265 million to local governments.,Governor
Local Government,Wisconsin,$190 million for local government aid grants.,State
Local Government,Wisconsin,$200 million to local governments agency reimbursements.,State
Local Government,Wyoming,Grants to local governments.,State
Other,Alabama,$2.5 million for the Timber Owners Program.,State
Other,Alabama,$7.3 million for a tourism marketing recovery program.,State
Other,Alabama,Approximately $10 million for state equipment.,State
Other,Alabama,Approximately $212 million to state agencies.,State
Other,Alaska,$1.3 million LAW COVID-19 Commodities & Payroll Reimbursement.,State
Other,Alaska,$1.6 million DBH COVID Quarantine Response.,State
Other,Alaska,$1.65 million PPE Purchase for Fishing Industry and Others,State
Other,Alaska,$1.7 million DPS FY21 Supplemental COVID'ê19 Costs,State
Other,Alaska,$1.8 million DPS CRF King Air Engine Replacement.,State
Other,Alaska,$10 million to Seafood Processors COVID-19 Relief,State
Other,Alaska,"$100,000 for the Alaska State Fair.",State
Other,Alaska,"$103,369 DOA Division (DMV, PDA, SSOA) COVID-ê19 Compliance Costs.",State
Other,Alaska,"$124,271 DOTPF Disinfecting Foggers.",State
Other,Alaska,"$135,485 COVID-19 Commodities & Payroll Reimbursement.",State
Other,Alaska,$16.7 million DPS COVID-19 Commodities & Payroll Reimbursement.,State
Other,Alaska,"$192,801 COVID-ê19 Commodities & Payroll Reimbursement.",State
Other,Alaska,$2.5 million Laboratory Equipment and Supplies,State
Other,Alaska,$2.9 million UA COVID-ê19 Commodities & Payroll Reimbursement.,State
Other,Alaska,"$200,000 DHSS Transportation",State
Other,Alaska,"$213,458 DOLWD COVID-ê19 Commodities & Payroll Reimbursement.",State
Other,Alaska,"$226,696 PFD Division Early Eligibility Determination.",State
Other,Alaska,"$250,000 BH and Withdrawal Management.",State
Other,Alaska,"$250,000 DHSS Communication.",State
Other,Alaska,"$26,000 Document Scanning for Public and Staff Access.",State
Other,Alaska,"$30,000 DPA Contact Investigation ê FY20 Travel Declaration Data Entry.",State
Other,Alaska,"$341,272 GOV COVID-ê19 Commodities & Payroll Reimbursement.",State
Other,Alaska,"$39,494 DJJ COVID-ê19 Costs.",State
Other,Alaska,$4.2 million for COVID Personal Services.,State
Other,Alaska,"$44,291 COVID-ê19 Commodities & Payroll Reimbursement.",State
Other,Alaska,"$47,000 for SeaView Community Services COVID Mitigation.",State
Other,Alaska,"$495,036 The Foraker Group Census Support",State
Other,Alaska,$5 million to the Alaska Travel Industry Association Grant.,State
Other,Alaska,"$504,043 DNR COVID-ê19 Commodities & Payroll Reimbursement.",State
Other,Alaska,"$6,000 Alaska's Healing Hearts",State
Other,Alaska,"$637,863 COVID-ê19 Leave Bulk Reimbursement.",State
Other,Alaska,"$75,000 Environmental Surveillance for SARS-êCoV2 in Community Water.",State
Other,Alaska,"$760,326 Alaska Conservation Corps, Law Enforcement, and Commodities.",State
Other,Alaska,"$8,000 Akeela FY2020 Manufacture and Distribution of Cloth Face Coverings.",State
Other,Alaska,"$8,000 Central Council Tlingit & Haida FY2020 Man. and Distr. of Cloth Face Coverings",State
Other,Alaska,"$8,000 Healing Hand Foundation FY2020 Manufacture and Distr. of Face Coverings.",State
Other,Alaska,"$8,000 Icarus Interstellar FY2020 Manufacture and Distr. of Cloth Face Coverings",State
Other,Alaska,"$8,000 Seward Senior Citizens FY2020 Manufacture and Distr. of Cloth Face Coverings.",State
Other,Alaska,"$80,000 OCS Space Planning for COVID-ê19 Compliance",State
Other,Alaska,"$950,000 OCS COVID Mitigation Program",State
Other,Arizona,$396 million to reimburse $300 million in General Fund spending and $96 million in Other Fund spending for state agency public health and public safety expenses.,State
Other,Arizona,$4 million to the Arizona Office of Tourism to develop a strategic recovery plan and strengthen domestic marketing campaigns.,State
Other,Arizona,$5 million for the support of the 2020 Census,State
Other,Arizona,$9 million to the Secretary of State for COVID-19 response efforts and early voting opportunities for the 2020 elections (AZ Vote Safe Program).,State
Other,Arkansas,$1.1 million to the Department of Human Services for the Foster parent payment proposal.,State
Other,Arkansas,$10.5 million to the Department of Agriculture for the Cost Sharing Program for Meat Processors.,State
Other,Arkansas,"$114,436 to the Department of Agriculture for Reimbursement request for IT expenditures related to communication, computer equipment and electronic licensing & permitting programs.",State
Other,Arkansas,"$132,609 to the Department of Veteran Affairs for a Proposal for reimbursement of increased labor expenses and PPE.",State
Other,Arkansas,"$148,649 to the Department of Public Safety for a Proposal for PPE and sanitation needs, payroll expense reimbursement (CLEST), direct expenses of the Department and payroll expense reimbursement/utility expenses (ADEM).",State
Other,Arkansas,$3.5 million to the Department of Transformation of Shared Services to Procure PPE for state employees.,State
Other,Arkansas,"$39,600 to the University of Arkansas - College of Engineering for Using SARS-CoV-2 in Wastewater as a Surveillance Tool for COVID-19 Monitoring.",State
Other,Arkansas,"$45,647 to the Department of Veteran Affairs for a Proposal for reimbursement of increased labor costs, including contract labor.",State
Other,Arkansas,$5.4 million for the Convention and Visitor Bureau Program.,State
Other,Arkansas,"$50,000 to the Department of Agriculture for livestock depopulation due to supply chain disruptions.",State
Other,Arkansas,"$8,024 to the Department of Inspector General for Reimbursement for medical records portal.",State
Other,California,"$190,266 for tax anticipation note expenses.",State
Other,California,$347.4 million for budgeted personnel for costs of a substantially different use.,State
Other,California,$50.5 million for user defined categories.,State
Other,California,$58.2 million for other expenses.,State
Other,California,$63.7 million for administrative expenses.,State
Other,Colorado,$70 million to the General Fund for eligible expenditures.,State
Other,Colorado,"$84.84 million to remain available for payroll and other necessary expenditures for public safety, public health, health care, human services, and similar employees whose services are substantially dedicated to mitigating or responding to the COVID-19 emergency.",State
Other,Connecticut,$198 million for direct operational costs incurred by state agencies in response to the public health emergency.,State
Other,Connecticut,"$2.6 million for public libraries, librarians staff and services.",State
Other,Delaware,$1.6 million for pandemic consulting.,State
Other,Delaware,$1.8 million to the Department of Agriculture for poultry grower grants.,State
Other,Delaware,$3.7 million for OMB General Costs and Supplies.,State
Other,Florida,$12.1 million to the Department of Transportation.,State
Other,Florida,$129.2 million to the Department of Highway Safety and Motor Vehicles.,State
Other,Florida,$13.9 million to the Department of Agriculture and Consumer Services.,State
Other,Florida,$17.8 million to the Department of Financial Services.,State
Other,Florida,"$173,666 to the Department of Citrus.",State
Other,Florida,$2.5 million to the Department of Environmental Protection.,State
Other,Florida,$2.6 million to the Department of State.,State
Other,Florida,"$207,878 to the Division of Administrative Hearings.",State
Other,Florida,$21.3 million to the Department of Management Services.,State
Other,Florida,"$263,907 to the Financial Regulation/ Insurance Regulation.",State
Other,Florida,$43 million to the Department of Revenue.,State
Other,Florida,$50.2 million to the Fish and Wildlife Conservation Commission.,State
Other,Florida,"$641,321 to the Board of Governors.",State
Other,Florida,$9.9 million to the Executive Office of the Governor.,State
Other,Georgia,$1 million for payroll for a substantially different use.,State
Other,Georgia,$124 million for payroll expenses for public safety employees.,State
Other,Georgia,"$192,252 for paid sick leave to public employees.",State
Other,Georgia,$2.2 million for payroll expenses for human services employees.,State
Other,Georgia,"$437,227 for other economic support",State
Other,Hawaii,"$103,962 to the Department of Business, Economic, Dev & Tourism for the flight assistance program.",State
Other,Hawaii,$14 million to the Department of Health to contract for additional medical staff services.,State
Other,Hawaii,"$3 million to the Department of Business, Economic Dev & Tourism for fishing industry support.",State
Other,Hawaii,$3.8 million to the Department of Public Safety for quarantine chambers and isolation containers.,State
Other,Hawaii,$40 million to the Department of Defense for COVID-19 response.,State
Other,Hawaii,$40 million to the Office of the Governor for the Governor's Discretionary Fund.,State
Other,Hawaii,$63.7 million to the Department of Transportation for SCRF airport screening and health assurance security.,State
Other,Hawaii,"$750,000 to the Department of Budget and Finance for accounting services for CRF single audit.",State
Other,Idaho,$1.3 million to the Department of Parks and Recreation for costs due to COVID-19.,Governor
Other,Idaho,"$1.3 million to the Legislative Services Office, plus an additional $20,000 for closed captioning. This will ensure Idahoans are able to engage in the legislative process throughout the rest of this year.",Governor
Other,Idaho,$10 million to the Office of Group Insurance for direct reimbursement for COVID-19 costs for state employees and their dependents.,Governor
Other,Idaho,$2 million for the One Idaho Campaign.,Governor
Other,Idaho,$2 million to the Division of Veteran Services.,Governor
Other,Idaho,$2 million to the Military Division for the Activation of the National Guard.,Governor
Other,Idaho,$2.3 million to the State Controller's Office for costs associated with CARES Act audits.,Governor
Other,Idaho,$3 million to the Department of Labor to double staffing at the call center through December.,Governor
Other,Idaho,$57.7 million for state agencies.,Governor
Other,Idaho,"$580,000 to the Department of Administration for improvements to state facilities necessary due to COVID-19.",Governor
Other,Idaho,"$69,052 to the City of Boise to reimburse the Boise Police Department costs associated with the extraordinary session of the 2020 Idaho legislature.",Governor
Other,Idaho,"$78,600 to the Idaho State Police to reimburse public safety payroll and administrative costs associated with the extraordinary session of the 2020 Idaho legislature.",Governor
Other,Indiana,$4 million to the Indiana Department of Agriculture for a meat processing grant program.,State
Other,Iowa,$10 million to the Iowa Department of Public Safety for police officer salaries.,Media
Other,Iowa,"$500,000 for a Farm Produce and Protein Program administered by the Iowa Department of Agriculture and Land Stewardship. This program is designed to help specialty ag producers in Iowa as well as the schools that purchase them. In addition to supporting local growers of fruits and vegetables to expand their capacity, it provides grants to schools that buy produce and other local crops and protein sources.",Governor
Other,Iowa,"$9 million for a Iowa Disposal Assistance Program administered by the Iowa Department of Agriculture and Land Stewardship. The disruption to the meat supply chain due to COVID-19 forced producers to euthanize and dispose of livestock due to lack of market access. This program, announced initially in May, provided direct payments to producers to recoup those expenses.",Governor
Other,Kansas,$16.5 million for child supervision.,Media
Other,Maine,"$10 million to Maine farms, agricultural businesses, and processing facilities in recovering emergency costs associated with COVID-19 market disruptions, and reimburse them for expenses incurred as they assured a continuous flow of available food by addressing supply chain disruptions and mitigating health and environmental impacts as a result of the pandemic.",State
Other,Maine,"$11.9 million for state agency purchases of personal protective equipment for state employees and cleaning supplies, as well as other facility costs associated office reconfiguration and barriers to provide for social distancing. Fund operations for a central warehouse to support receiving, storing and distributing PPE for government entities.",State
Other,Maine,"$158.2 million to reimburse certain personnel costs for several State agencies with employees that are substantially dedicated to mitigating or responding to the COVID-19 public health emergency - including overtime pay, hazard pay and regular payroll for certain public safety and public health employees. Additionally, cover costs for contracted staff to assist with increased workload due to COVID-19 in Employment Security Services (Unemployment) and Department of Administrative and Financial Services.",State
Other,Maryland,"$3 million to the Maryland State Arts Council's (MSAC) Emergency Grant Program. In response to the COVID-19 State of Emergency, MSAC has created special grant opportunities that provide emergency funding to arts organizations and artists for losses sustained because of programming, operations, and events that have been modified or cancelled.",Governor
Other,Minnesota,$1.2 million for the Office of Attorney General Coronavirus Relief Fund Reimbursement Request No. 2 .,State
Other,Minnesota,$10 million for appropriate state activities.,State
Other,Minnesota,"$100,000 to MNIT for social distancing and safe reopening.",State
Other,Minnesota,"$118,000 to the House for COVID-19 related spending.",State
Other,Minnesota,"$12,000 to the Guardian ad Litem program.",State
Other,Minnesota,"$125,000 for retail food handler safety.",State
Other,Minnesota,"$149,000 to the Department of Employment and Economic Development for operating expenses including purchasing sanitization and PPE products, public safety measures, improving telework capabilities, employment training programs, and other COVID-19 expenses.",State
Other,Minnesota,"$170,000 for the Management and Budget Office CRF Compliance Costs.",State
Other,Minnesota,"$19,000 to the Senate for COVID-19 related spending.",State
Other,Minnesota,"$2.15 million to the Department of Veterans Affairs for COVID-19 expenses related to protecting Veterans Homes residents, staff and veterans who have been negatively impacted by COVID-19.",State
Other,Minnesota,"$200,000 COVID Related Spending for the Minnesota Senate",State
Other,Minnesota,"$285,000 for Office of Governor Tim Walz and Lt. Governor Peggy Flanagan COVID-19 expenses.",State
Other,Minnesota,"$290,000 to the Governor's Office for operating expenses communication and enforcement of public health orders, public safety measures, technical assistance, improving telework capabilities, paid sick and paid family and medical leave, and other COVID-19 expenses.",State
Other,Minnesota,"$34,000 to all agencies for COVID-19 related expenses.",State
Other,Minnesota,"$370,047 for FY21 Technology Expenses for COVID-19 Situation Response for MNIT.",State
Other,Minnesota,"$383,000 for Minnesota House of Representatives Technology and Safety Response Needs under COVID Operations .",State
Other,Minnesota,$4.6 million for FY21 MDVA Coronavirus Budget Relief.,State
Other,Minnesota,$4.6 million to the Department of Human Services for emergency temporary staffing pool for group settings.,State
Other,Minnesota,"$402,000 to the Department of Administration for paid sick and paid family and medical leave.",State
Other,Minnesota,"$445,000 to the Management and Budget office for a COVID-19 response accountability office.",State
Other,Minnesota,$5 million for all agencies COVID-19 workers' compensation costs.,State
Other,Minnesota,$5.4 million to the Department of Human Services for operating expenses in the Central Office.,State
Other,Minnesota,"$525,500 to the Management and Budget office for redeployment costs, results analysis, and reimbursement for MAD services.",State
Other,Minnesota,"$590,000 to the Department of Natural Resources to improve telework capabilities and for unemployment insurance costs.",State
Other,Minnesota,"$6.75 million to MNIT services for remote work expenses, COVID-19 communication, sanitization and PPE supplies, and paid sick and family and medical leave.",State
Other,Minnesota,"$60,000 for farm advocate services.",State
Other,Minnesota,"$695,000 to the Department for Public Safety for state patrol, drive and vehicle services administrative cost, and laptops for telework.",State
Other,Minnesota,$8.75 million for a COVID-19 testing and tracing statewide media campaign.,State
Other,Minnesota,"$825,000 to the Department of Education Agency for operating expenses including payroll expenses, facilitating distance learning, and improving telework capabilities",State
Other,Minnesota,"$881,000 to the Department of Public Safety - Bureau of Criminal Apprehension and Homeland Security and Emergency Management Coronavirus Relief for purchasing sanitization and PPE products, improving telework capabilities, paid sick and paid family and medical leave.",State
Other,Minnesota,"$994,000 to the Office of the Attorney General to improve telework capabilities and communication and enforcement of public health orders.",State
Other,Mississippi,$1 million for elections,Media
Other,Mississippi,$10 million will be reallocated from the Budget Contingency Fund to defray the expenses of the Veterans' Affairs Board.,State
Other,Mississippi,$15 million for tourism,Media
Other,Mississippi,$50 million for the governor's discretionary fund.,Media
Other,Missouri,"$15 million in grant funding to help rebuild Missouri's tourism industry. The funds will be administered by the Missouri Division of Tourism and will grant eligible DMOs funding for recovery efforts such as payroll relief, reimbursement for necessary safety equipment, and the initiation of marketing campaigns with messaging focused on safe travel.",Governor
Other,Missouri,"Gov. Parson signed into law a $1.2 billion coronavirus aid package, $752 million comes from CRF.",Media
Other,Nebraska,"$80 million to the acquisition of PPE, sanitizing products; temporary isolation or quarantine sites; medical leave; tele-work capabilities; emergency staffing; payroll costs.",Governor
Other,Nebraska,"Combined spending for the UI Trust Fund and General Fund, see Unemployment/Workforce Development.",Governor
Other,Nevada,$200 million for state costs and reimbursements.,Governor
Other,Nevada,$4 million to the Department of Tourism and Cultural Affairs to prepare for and respond to the COVID-19 pandemic.,Legislature
Other,Nevada,"$52,114 to the Office of the Secretary of State to prepare for and respond to the COVID-19 pandemic.",Legislature
